Company,TypeName,Inches,Ram_GB,Weight_kg,cpu_brand,cpu_ghz,gpu_brand,storage_type,storage_gb,res_width,res_height,ppi,is_touchscreen,is_ips,os_clean,Price_euros,log_price,ram_tier,storage_tier,cpu_perf_score,is_premium,weight_category
HP,Notebook,15.6,4,1.86,Intel,2.5,Intel,HDD,500.0,1920.0,1080.0,141.21,0,0,No OS,344.99,5.846409872905957,Low (≤4GB),High (512GB),2.5,0,Light
Apple,Ultrabook,15.4,16,1.83,Intel,2.8,AMD,SSD,256.0,2880.0,1800.0,220.53,0,1,macOS,2439.97,7.800150780272373,High (16GB),Mid (256GB),2.8,1,Light
Dell,Notebook,15.6,4,2.2,Intel,2.5,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,498.9,6.214408078419525,Low (≤4GB),Mid (256GB),2.5,0,Standard
Apple,Ultrabook,12.0,8,0.92,Intel,1.2,Intel,SSD,256.0,2304.0,1440.0,226.42,0,1,macOS,1262.4,7.1415617784646,Mid (8GB),Mid (256GB),1.2,1,Ultralight
Apple,Ultrabook,13.3,8,1.37,Intel,2.3,Intel,SSD,256.0,2560.0,1600.0,226.98,0,1,macOS,1518.55,7.326169517376512,Mid (8GB),Mid (256GB),2.3,1,Ultralight
Dell,Notebook,15.6,8,2.2,Intel,2.7,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,745.0,6.61472560020376,Mid (8GB),Mid (256GB),2.7,0,Standard
Apple,Ultrabook,15.4,16,1.83,Intel,2.9,AMD,SSD,512.0,2880.0,1800.0,220.53,0,1,macOS,2858.0,7.958227192322312,High (16GB),High (512GB),2.9,1,Light
Lenovo,Notebook,15.6,8,2.2,Intel,2.4,Nvidia,HDD,1024.0,1920.0,1080.0,141.21,0,0,No OS,499.0,6.214608098422191,Mid (8GB),Ultra (1TB+),2.4,0,Standard
Dell,Ultrabook,13.3,8,1.22,Intel,1.6,Intel,SSD,128.0,1920.0,1080.0,165.63,1,1,Windows,979.0,6.887552571664617,Mid (8GB),Low (≤128GB),1.6,1,Ultralight
Asus,Netbook,11.6,2,0.98,Intel,1.44,Intel,SSD,32.0,1366.0,768.0,135.09,0,0,Windows,191.9,5.262171919911683,Low (≤4GB),Low (≤128GB),1.44,0,Ultralight
Lenovo,Gaming,15.6,8,2.5,Intel,2.5,Nvidia,Hybrid,1152.0,1920.0,1080.0,141.21,0,1,Windows,999.0,6.907755278982137,Mid (8GB),Ultra (1TB+),2.5,1,Heavy
HP,Notebook,15.6,4,1.86,AMD,1.5,AMD,HDD,500.0,1366.0,768.0,100.45,0,0,No OS,258.0,5.556828061699537,Low (≤4GB),High (512GB),1.35,0,Light
Dell,2 in 1 Convertible,13.3,8,1.62,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,165.63,1,0,Windows,819.0,6.709304340258299,Mid (8GB),Mid (256GB),1.6,0,Light
HP,Ultrabook,15.6,8,1.91,Intel,1.8,Intel,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,659.0,6.492239835020471,Mid (8GB),Mid (256GB),1.8,1,Light
Dell,Notebook,15.6,4,2.3,Intel,2.5,Intel,HDD,1024.0,1366.0,768.0,100.45,0,0,Windows,418.64,6.039397200863284,Low (≤4GB),Ultra (1TB+),2.5,0,Standard
Apple,Ultrabook,13.3,8,1.35,Intel,1.6,Intel,SSD,128.0,1440.0,900.0,127.68,0,0,macOS,1099.0,7.003065458786462,Mid (8GB),Low (≤128GB),1.6,1,Ultralight
Dell,Notebook,15.6,8,2.2,Intel,1.6,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,800.0,6.68586094706836,Mid (8GB),Mid (256GB),1.6,0,Standard
Dell,Ultrabook,15.6,8,1.88,Intel,1.9,Intel,SSD,512.0,1920.0,1080.0,141.21,0,0,Windows,1298.0,7.1693500166706,Mid (8GB),High (512GB),1.9,1,Light
HP,Notebook,17.3,8,2.5,Intel,1.6,Nvidia,HDD,1024.0,1920.0,1080.0,127.34,0,0,Windows,896.0,6.799055862058796,Mid (8GB),Ultra (1TB+),1.6,0,Heavy
Chuwi,Notebook,15.6,4,1.89,Intel,1.44,Intel,SSD,64.0,1920.0,1080.0,141.21,0,0,Windows,244.99,5.505290884699608,Low (≤4GB),Low (≤128GB),1.44,0,Light
Asus,Notebook,14.0,2,1.65,AMD,1.5,AMD,SSD,32.0,1366.0,768.0,111.94,0,0,Windows,199.0,5.298317366548036,Low (≤4GB),Low (≤128GB),1.35,0,Light
HP,Notebook,17.3,4,2.71,AMD,2.5,AMD,HDD,500.0,1920.0,1080.0,127.34,0,0,Windows,439.0,6.0867747269123065,Low (≤4GB),High (512GB),2.25,0,Heavy
Dell,Ultrabook,13.3,16,1.2,Intel,1.8,Intel,SSD,512.0,3200.0,1800.0,276.05,1,0,Windows,1869.0,7.533693709848633,High (16GB),High (512GB),1.8,1,Ultralight
Apple,Ultrabook,13.3,8,1.35,Intel,1.6,Intel,SSD,256.0,1440.0,900.0,127.68,0,0,macOS,998.0,6.906754778648554,Mid (8GB),Mid (256GB),1.6,1,Ultralight
Lenovo,Notebook,14.0,4,1.44,Intel,1.1,Intel,SSD,64.0,1366.0,768.0,111.94,0,0,Windows,249.0,5.521460917862246,Low (≤4GB),Low (≤128GB),1.1,0,Ultralight
Acer,Notebook,15.6,4,2.1,Intel,2.7,Intel,HDD,1024.0,1366.0,768.0,100.45,0,0,Linux,367.0,5.908082938168931,Low (≤4GB),Ultra (1TB+),2.7,0,Standard
Dell,Notebook,17.3,8,2.8,Intel,1.6,AMD,Hybrid,1152.0,1920.0,1080.0,127.34,0,1,Windows,979.0,6.887552571664617,Mid (8GB),Ultra (1TB+),1.6,0,Heavy
HP,Notebook,15.6,4,1.86,Intel,2.5,Intel,HDD,1024.0,1366.0,768.0,100.45,0,0,Windows,488.69,6.193772537834054,Low (≤4GB),Ultra (1TB+),2.5,0,Light
HP,Notebook,15.6,8,2.1,Intel,1.6,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,879.0,6.779921907472252,Mid (8GB),Mid (256GB),1.6,0,Standard
Asus,Notebook,15.6,4,2.0,Intel,2.5,Intel,HDD,1024.0,1920.0,1080.0,141.21,0,0,Linux,389.0,5.966146739123692,Low (≤4GB),Ultra (1TB+),2.5,0,Standard
Dell,Gaming,15.6,16,2.65,Intel,2.8,Nvidia,Hybrid,1280.0,1920.0,1080.0,141.21,0,1,Windows,1499.0,7.313220387090301,High (16GB),Ultra (1TB+),2.8,1,Heavy
Asus,Notebook,15.6,8,2.3,Intel,2.5,Nvidia,HDD,1024.0,1366.0,768.0,100.45,0,0,Linux,522.99,6.261472600169475,Mid (8GB),Ultra (1TB+),2.5,0,Standard
Acer,Notebook,15.6,4,2.2,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,141.21,0,1,Windows,682.0,6.52649485957079,Low (≤4GB),Mid (256GB),1.6,0,Standard
Dell,2 in 1 Convertible,17.3,12,2.77,Intel,1.6,Nvidia,HDD,1024.0,1920.0,1080.0,127.34,1,0,Windows,999.0,6.907755278982137,High (16GB),Ultra (1TB+),1.6,0,Heavy
Apple,Ultrabook,13.3,8,1.37,Intel,2.0,Intel,SSD,256.0,2560.0,1600.0,226.98,0,1,macOS,1419.0,7.258412150595307,Mid (8GB),Mid (256GB),2.0,1,Ultralight
Lenovo,Notebook,15.6,4,2.2,Intel,2.5,Intel,SSD,128.0,1366.0,768.0,100.45,0,0,No OS,369.0,5.91350300563827,Low (≤4GB),Low (≤128GB),2.5,0,Standard
Asus,Gaming,17.3,8,3.2,AMD,2.5,AMD,Hybrid,1280.0,1920.0,1080.0,127.34,0,0,Windows,1299.0,7.170119543449628,Mid (8GB),Ultra (1TB+),2.25,1,Heavy
Dell,Notebook,15.6,4,2.3,Intel,2.5,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,639.0,6.461468176353717,Low (≤4GB),Mid (256GB),2.5,0,Standard
Asus,Notebook,17.3,4,2.8,Intel,1.1,Nvidia,HDD,1024.0,1366.0,768.0,90.58,0,0,Windows,466.0,6.1463292576688975,Low (≤4GB),Ultra (1TB+),1.1,0,Heavy
Lenovo,2 in 1 Convertible,10.1,4,0.69,Intel,1.44,Intel,SSD,64.0,1920.0,1200.0,224.17,1,1,Other,319.0,5.768320995793772,Low (≤4GB),Low (≤128GB),1.44,0,Ultralight
Acer,Notebook,15.6,8,2.2,Intel,1.8,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,1,Windows,841.0,6.7357800142423265,Mid (8GB),Mid (256GB),1.8,0,Standard
HP,Notebook,15.6,4,1.86,AMD,2.5,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,398.49,5.99018873360393,Low (≤4GB),Mid (256GB),2.25,0,Light
HP,Notebook,13.3,8,1.49,Intel,1.8,Intel,SSD,512.0,1920.0,1080.0,165.63,0,0,Windows,1103.0,7.00669522683704,Mid (8GB),High (512GB),1.8,1,Ultralight
Acer,Notebook,15.6,4,2.4,Intel,2.4,Intel,HDD,1024.0,1366.0,768.0,100.45,0,0,Windows,384.0,5.953243334287785,Low (≤4GB),Ultra (1TB+),2.4,0,Standard
Dell,Notebook,15.6,8,2.13,Intel,1.8,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,767.8,6.644830857656083,Mid (8GB),Mid (256GB),1.8,0,Standard
HP,Notebook,15.6,4,1.91,Intel,2.5,Intel,SSD,128.0,1920.0,1080.0,141.21,0,0,Windows,439.0,6.0867747269123065,Low (≤4GB),Low (≤128GB),2.5,0,Light
Asus,Notebook,15.6,4,2.0,Intel,2.5,Intel,SSD,256.0,1366.0,768.0,100.45,0,0,Windows,586.19,6.375348447182542,Low (≤4GB),Mid (256GB),2.5,0,Standard
MSI,Gaming,17.3,16,2.43,Intel,2.8,Nvidia,Hybrid,2304.0,1920.0,1080.0,127.34,0,0,Windows,2449.0,7.803843303538772,High (16GB),Ultra (1TB+),2.8,1,Standard
Asus,Notebook,15.6,4,2.0,Intel,2.5,Intel,SSD,256.0,1920.0,1080.0,141.21,0,0,Linux,415.0,6.030685260261263,Low (≤4GB),Mid (256GB),2.5,0,Standard
Dell,Notebook,17.3,16,2.8,Intel,1.8,AMD,Hybrid,2304.0,1920.0,1080.0,127.34,0,0,Windows,1299.0,7.170119543449628,High (16GB),Ultra (1TB+),1.8,1,Heavy
Dell,Ultrabook,14.0,8,1.7,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,157.35,0,0,Windows,879.0,6.779921907472252,Mid (8GB),Mid (256GB),1.6,1,Light
Lenovo,Notebook,14.0,8,1.7,Intel,2.7,Intel,SSD,256.0,1920.0,1080.0,157.35,0,1,No OS,599.0,6.396929655216146,Mid (8GB),Mid (256GB),2.7,0,Light
Asus,Notebook,14.0,8,1.4,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,157.35,0,0,Windows,941.0,6.848005274576363,Mid (8GB),Mid (256GB),1.6,0,Ultralight
HP,Notebook,15.6,8,1.86,Intel,2.5,Intel,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,690.0,6.53813982376767,Mid (8GB),Mid (256GB),2.5,0,Light
Asus,Ultrabook,15.6,16,1.8,Intel,2.8,Nvidia,SSD,512.0,1920.0,1080.0,141.21,0,0,Windows,1983.0,7.592870287844818,High (16GB),High (512GB),2.8,1,Light
HP,Notebook,15.6,4,1.86,Intel,2.5,AMD,HDD,500.0,1366.0,768.0,100.45,0,0,Windows,438.69,6.086069933148976,Low (≤4GB),High (512GB),2.5,0,Light
HP,Notebook,14.0,4,1.44,Intel,1.6,Intel,SSD,32.0,1366.0,768.0,111.94,0,0,Windows,229.0,5.438079308923196,Low (≤4GB),Low (≤128GB),1.6,0,Ultralight
Lenovo,Notebook,15.6,4,1.9,Intel,2.5,Intel,HDD,1024.0,1920.0,1080.0,141.21,0,0,Windows,549.0,6.309918278226516,Low (≤4GB),Ultra (1TB+),2.5,0,Light
Asus,Gaming,17.3,12,3.0,Intel,2.8,Nvidia,HDD,1024.0,1920.0,1080.0,127.34,0,0,Linux,949.0,6.856461984594587,High (16GB),Ultra (1TB+),2.8,1,Heavy
Microsoft,Ultrabook,13.5,4,1.252,Intel,2.5,Intel,SSD,128.0,2256.0,1504.0,200.84,1,0,Windows,1089.0,6.993932975223189,Low (≤4GB),Low (≤128GB),2.5,1,Ultralight
Dell,Ultrabook,13.3,8,1.4,Intel,1.8,AMD,SSD,256.0,1920.0,1080.0,165.63,0,1,Windows,955.0,6.862757913051401,Mid (8GB),Mid (256GB),1.8,1,Ultralight
Dell,Notebook,15.6,8,2.2,Intel,1.8,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,870.0,6.769641976852503,Mid (8GB),Mid (256GB),1.8,0,Standard
MSI,Gaming,17.3,8,2.7,Intel,2.5,Nvidia,Hybrid,1152.0,1920.0,1080.0,127.34,0,0,Windows,1095.0,6.999422467507961,Mid (8GB),Ultra (1TB+),2.5,1,Heavy
Acer,Notebook,14.0,8,2.1,Intel,2.5,Intel,HDD,1024.0,1366.0,768.0,111.94,0,0,Windows,389.0,5.966146739123692,Mid (8GB),Ultra (1TB+),2.5,0,Standard
Asus,Gaming,15.6,8,2.2,Intel,2.8,Nvidia,HDD,1024.0,1920.0,1080.0,141.21,0,0,Windows,949.0,6.856461984594587,Mid (8GB),Ultra (1TB+),2.8,1,Standard
Lenovo,Notebook,15.6,8,2.2,Intel,2.5,Intel,HDD,2048.0,1920.0,1080.0,141.21,0,0,No OS,519.0,6.253828811575473,Mid (8GB),Ultra (1TB+),2.5,0,Standard
Dell,Notebook,15.6,8,2.02,Intel,1.8,Intel,Hybrid,1152.0,1920.0,1080.0,141.21,0,0,Windows,855.0,6.752270376141742,Mid (8GB),Ultra (1TB+),1.8,0,Standard
Acer,Notebook,15.6,4,2.2,Intel,2.7,Nvidia,HDD,1024.0,1920.0,1080.0,141.21,0,0,Windows,530.0,6.274762021241939,Low (≤4GB),Ultra (1TB+),2.7,0,Standard
HP,Notebook,17.3,8,2.5,Intel,1.6,Nvidia,Hybrid,1152.0,1920.0,1080.0,127.34,0,0,Windows,977.0,6.885509670034818,Mid (8GB),Ultra (1TB+),1.6,0,Heavy
Dell,Ultrabook,15.6,8,1.88,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,141.21,0,1,Windows,1096.16,7.000480301964336,Mid (8GB),Mid (256GB),1.6,1,Light
Apple,Ultrabook,12.0,8,0.92,Intel,1.3,Intel,SSD,512.0,2304.0,1440.0,226.42,0,1,macOS,1510.0,7.32052696227274,Mid (8GB),High (512GB),1.3,1,Ultralight
HP,Notebook,14.0,8,1.63,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,157.35,0,0,Windows,860.0,6.7580945044277305,Mid (8GB),Mid (256GB),1.6,0,Light
Lenovo,Notebook,15.6,4,2.2,AMD,2.5,AMD,SSD,128.0,1920.0,1080.0,141.21,0,0,Windows,399.0,5.991464547107982,Low (≤4GB),Low (≤128GB),2.25,0,Standard
Acer,Notebook,15.6,4,2.1,AMD,2.5,AMD,HDD,1024.0,1366.0,768.0,100.45,0,0,Windows,395.0,5.981414211254481,Low (≤4GB),Ultra (1TB+),2.25,0,Standard
Dell,Gaming,15.6,16,2.65,Intel,2.8,Nvidia,Hybrid,1152.0,1920.0,1080.0,141.21,0,1,Windows,1349.0,7.2078598714324755,High (16GB),Ultra (1TB+),2.8,1,Heavy
HP,Ultrabook,15.6,8,1.83,Intel,1.8,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,1,Windows,699.0,6.551080335043404,Mid (8GB),Mid (256GB),1.8,1,Light
HP,Notebook,15.6,8,1.96,Intel,2.5,Intel,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,598.99,6.396912988410589,Mid (8GB),Mid (256GB),2.5,0,Light
Asus,Gaming,15.6,16,2.2,Intel,2.8,Nvidia,Hybrid,1152.0,1920.0,1080.0,141.21,0,1,Windows,1449.0,7.27931883541462,High (16GB),Ultra (1TB+),2.8,1,Standard
Dell,Ultrabook,13.3,8,1.21,Intel,1.8,Intel,SSD,256.0,1920.0,1080.0,165.63,0,1,Windows,1649.0,7.408530566894626,Mid (8GB),Mid (256GB),1.8,1,Ultralight
Asus,Gaming,15.6,8,2.45,AMD,2.5,AMD,HDD,1024.0,1920.0,1080.0,141.21,0,0,Windows,699.0,6.551080335043404,Mid (8GB),Ultra (1TB+),2.25,1,Standard
Acer,Notebook,15.6,8,2.2,Intel,1.8,Nvidia,HDD,1024.0,1920.0,1080.0,141.21,0,0,Windows,689.0,6.536691597591305,Mid (8GB),Ultra (1TB+),1.8,0,Standard
HP,Notebook,13.3,16,1.49,Intel,1.8,Intel,SSD,512.0,1920.0,1080.0,165.63,0,0,Windows,1197.0,7.088408778675395,High (16GB),High (512GB),1.8,1,Ultralight
Dell,Gaming,15.6,8,2.65,Intel,2.5,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,1195.0,7.086737934510577,Mid (8GB),Mid (256GB),2.5,1,Heavy
Asus,Ultrabook,14.0,8,1.25,Intel,2.7,Intel,SSD,256.0,1920.0,1080.0,157.35,0,0,Windows,1049.0,6.956545443151569,Mid (8GB),Mid (256GB),2.7,1,Ultralight
Acer,2 in 1 Convertible,13.3,8,1.5,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,165.63,1,1,Windows,847.0,6.742880635791903,Mid (8GB),Mid (256GB),1.6,0,Light
Dell,Notebook,15.6,8,2.2,Intel,2.7,AMD,HDD,1024.0,1920.0,1080.0,141.21,0,0,Linux,599.9,6.398428531339882,Mid (8GB),Ultra (1TB+),2.7,0,Standard
Dell,Notebook,15.6,4,2.2,Intel,2.5,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Linux,485.0,6.186208623900494,Low (≤4GB),Mid (256GB),2.5,0,Standard
Asus,Notebook,15.6,6,2.0,Intel,2.4,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,577.0,6.359573868672378,Mid (8GB),Mid (256GB),2.4,0,Standard
HP,Gaming,15.6,12,2.62,Intel,2.8,Nvidia,Hybrid,1152.0,1920.0,1080.0,141.21,0,1,Windows,1249.0,7.1308988302963465,High (16GB),Ultra (1TB+),2.8,1,Heavy
HP,Notebook,15.6,8,1.91,Intel,2.7,AMD,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,719.0,6.579251212010101,Mid (8GB),Mid (256GB),2.7,0,Light
HP,Notebook,15.6,4,2.1,AMD,1.5,AMD,HDD,500.0,1920.0,1080.0,141.21,0,0,Windows,349.0,5.857933154483459,Low (≤4GB),High (512GB),1.35,0,Standard
Dell,Notebook,15.6,8,2.2,Intel,1.6,AMD,HDD,1024.0,1920.0,1080.0,141.21,0,0,Linux,647.0,6.473890696352274,Mid (8GB),Ultra (1TB+),1.6,0,Standard
HP,Ultrabook,13.3,8,1.38,Intel,2.7,Nvidia,SSD,256.0,1920.0,1080.0,165.63,0,1,Windows,1119.0,7.02108396428914,Mid (8GB),Mid (256GB),2.7,1,Ultralight
Microsoft,Ultrabook,13.5,8,1.252,Intel,2.5,Intel,SSD,256.0,2256.0,1504.0,200.84,1,0,Windows,1340.0,7.201170883281678,Mid (8GB),Mid (256GB),2.5,1,Ultralight
HP,Notebook,14.0,6,1.58,Intel,2.5,Nvidia,SSD,256.0,1920.0,1080.0,157.35,0,1,Windows,659.0,6.492239835020471,Mid (8GB),Mid (256GB),2.5,0,Light
Lenovo,Notebook,15.6,4,1.85,Intel,2.5,Intel,HDD,1024.0,1920.0,1080.0,141.21,0,0,Windows,414.9,6.030444846748866,Low (≤4GB),Ultra (1TB+),2.5,0,Light
Asus,Ultrabook,14.0,8,1.3,Intel,2.7,Nvidia,SSD,256.0,1920.0,1080.0,157.35,0,1,Windows,1193.0,7.085064293952548,Mid (8GB),Mid (256GB),2.7,1,Ultralight
MSI,Gaming,15.6,16,2.2,Intel,2.8,Nvidia,Hybrid,1280.0,1920.0,1080.0,141.21,0,0,Windows,1299.0,7.170119543449628,High (16GB),Ultra (1TB+),2.8,1,Standard
Lenovo,Notebook,14.0,8,1.58,Intel,2.7,Intel,SSD,256.0,1920.0,1080.0,157.35,0,1,Windows,1480.0,7.300472814267799,Mid (8GB),Mid (256GB),2.7,0,Light
Asus,Ultrabook,15.6,16,1.5,Intel,1.8,Nvidia,Hybrid,1280.0,1920.0,1080.0,141.21,0,0,Windows,1262.0,7.141245122350491,High (16GB),Ultra (1TB+),1.8,1,Light
Dell,Ultrabook,13.3,8,1.23,Intel,2.4,Intel,SSD,256.0,3200.0,1800.0,276.05,1,0,Windows,1379.0,7.22983877815125,Mid (8GB),Mid (256GB),2.4,1,Ultralight
Lenovo,2 in 1 Convertible,13.3,8,1.37,Intel,2.5,Intel,SSD,256.0,1920.0,1080.0,165.63,1,1,Windows,1399.0,7.24422751560335,Mid (8GB),Mid (256GB),2.5,0,Ultralight
HP,Notebook,14.0,4,1.63,Intel,1.6,Intel,HDD,500.0,1366.0,768.0,111.94,0,1,Windows,722.0,6.583409222158765,Low (≤4GB),High (512GB),1.6,0,Light
Dell,Ultrabook,13.3,8,1.21,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,165.63,0,1,Windows,1629.0,7.396335293800808,Mid (8GB),Mid (256GB),1.6,1,Ultralight
HP,2 in 1 Convertible,13.3,8,1.26,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,165.63,1,1,Windows,1398.99,7.244220372720696,Mid (8GB),Mid (256GB),1.6,0,Ultralight
HP,Notebook,14.0,8,1.63,Intel,1.8,Intel,SSD,512.0,1920.0,1080.0,157.35,0,0,Windows,1084.0,6.98933526597456,Mid (8GB),High (512GB),1.8,1,Light
Dell,Notebook,15.6,8,2.16,Intel,1.8,Nvidia,Hybrid,1280.0,1920.0,1080.0,141.21,0,1,Windows,1130.33,7.031149210745764,Mid (8GB),Ultra (1TB+),1.8,0,Standard
Asus,Notebook,17.3,4,2.0,Intel,2.5,Nvidia,HDD,1024.0,1920.0,1080.0,127.34,0,0,Windows,564.0,6.336825731146441,Low (≤4GB),Ultra (1TB+),2.5,0,Standard
Asus,Notebook,15.6,8,1.7,Intel,1.8,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,1118.0,7.020190708311925,Mid (8GB),Mid (256GB),1.8,0,Light
Acer,Notebook,15.6,6,2.1,Intel,2.4,Intel,HDD,1024.0,1920.0,1080.0,141.21,1,1,Windows,479.0,6.173786103901937,Mid (8GB),Ultra (1TB+),2.4,0,Standard
MSI,Gaming,15.6,16,1.8,Intel,2.8,Nvidia,Hybrid,2304.0,1920.0,1080.0,141.21,0,0,Windows,2241.5,7.715346593932951,High (16GB),Ultra (1TB+),2.8,1,Light
Lenovo,Notebook,15.6,8,2.2,Intel,2.5,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,0,No OS,629.0,6.4457198193855785,Mid (8GB),Mid (256GB),2.5,0,Standard
HP,Notebook,17.3,16,2.5,Intel,1.8,Nvidia,SSD,512.0,1920.0,1080.0,127.34,0,0,Windows,1271.0,7.148345743900068,High (16GB),High (512GB),1.8,1,Heavy
Acer,Notebook,15.6,4,2.1,AMD,2.5,AMD,SSD,256.0,1366.0,768.0,100.45,0,0,Windows,451.0,6.113682179832232,Low (≤4GB),Mid (256GB),2.25,0,Standard
HP,Notebook,15.6,4,1.86,Intel,1.6,Intel,HDD,500.0,1366.0,768.0,100.45,0,0,No OS,259.0,5.560681631015528,Low (≤4GB),High (512GB),1.6,0,Light
HP,Notebook,14.0,8,1.63,Intel,1.6,Intel,HDD,1024.0,1920.0,1080.0,157.35,0,0,Windows,812.0,6.70073110954781,Mid (8GB),Ultra (1TB+),1.6,0,Light
Asus,Notebook,14.0,4,1.65,AMD,1.5,AMD,SSD,64.0,1366.0,768.0,111.94,0,0,Windows,277.99,5.631175938885108,Low (≤4GB),Low (≤128GB),1.35,0,Light
Dell,Notebook,17.3,16,2.8,Intel,1.8,AMD,Hybrid,2304.0,1920.0,1080.0,127.34,0,0,Windows,1396.0,7.242082359256962,High (16GB),Ultra (1TB+),1.8,1,Heavy
HP,Notebook,17.3,8,2.5,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,127.34,0,0,Windows,928.0,6.834108738813838,Mid (8GB),Mid (256GB),1.6,0,Heavy
Dell,Notebook,15.6,8,2.36,Intel,2.5,AMD,HDD,1024.0,1366.0,768.0,100.45,0,0,Windows,638.99,6.461452551231646,Mid (8GB),Ultra (1TB+),2.5,0,Standard
Dell,Notebook,15.6,4,2.2,Intel,2.5,AMD,HDD,1024.0,1920.0,1080.0,141.21,0,0,Windows,449.0,6.1092475827643655,Low (≤4GB),Ultra (1TB+),2.5,0,Standard
Acer,Ultrabook,14.0,8,1.6,Intel,1.8,Intel,SSD,256.0,1920.0,1080.0,157.35,0,1,Windows,884.0,6.785587645007929,Mid (8GB),Mid (256GB),1.8,1,Light
Acer,Notebook,15.6,4,2.2,Intel,2.7,Nvidia,SSD,256.0,1920.0,1080.0,141.21,0,0,Windows,572.0,6.35088571671474,Low (≤4GB),Mid (256GB),2.7,0,Standard
